country,year,predicted,model
France,2027,15386321.380798552,LR
Germany,2027,18477496.71915322,LR
Greece,2027,2007396.8396592091,LR
Hungary,2027,3089081.9968451224,LR
Ireland,2027,14003229.091949258,LR
Italy,2027,5346821.075587096,LR
Latvia,2027,1367841.287175598,LR
Lithuania,2027,811142.6961993012,LR
Luxembourg,2027,3229156.9683929514,LR
Malta,2027,3708304.5194450007,LR
Netherlands,2027,8599320.354688428,LR
Poland,2027,5006569.868507944,LR
Portugal,2027,4567440.140774386,LR
Romania,2027,1453442.0845122845,LR
Slovak Republic,2027,925797.8578839405,LR
Slovenia,2027,1082598.5790975401,LR
Spain,2027,12401064.511869729,LR
Sweden,2027,3603527.6588404924,LR
Austria,2028,4216998.923832177,LR
Belgium,2028,3464151.188490682,LR
Bulgaria,2028,1028776.2010656367,LR
Croatia,2028,1135948.8526515649,LR
Cyprus,2028,1331255.4784182296,LR
Czech Republic,2028,2108489.0061880876,LR
Denmark,2028,3367045.535565964,LR
Estonia,2028,1280849.6385318101,LR
Finland,2028,3636499.0062964573,LR
France,2028,15743854.682415895,LR
Germany,2028,18949823.157211494,LR
Greece,2028,2622132.665695831,LR
Hungary,2028,3443196.964543864,LR
Ireland,2028,14406905.958230622,LR
Italy,2028,6320560.459051498,LR
Latvia,2028,1971733.4816853583,LR
Lithuania,2028,1488468.7075215308,LR
Luxembourg,2028,4294027.853594995,LR
Malta,2028,4523190.416111321,LR
Netherlands,2028,9162087.266485725,LR
Poland,2028,5726453.818300407,LR
Portugal,2028,5127920.425137917,LR
Romania,2028,2196936.4401561925,LR
Slovak Republic,2028,1621175.4911793498,LR
Slovenia,2028,1801888.336387935,LR
Spain,2028,12988580.772606485,LR
Sweden,2028,4337943.110825111,LR
Austria,2029,4918123.2788013555,LR
Belgium,2029,4263546.756747097,LR
Bulgaria,2029,1694222.2869229922,LR
Croatia,2029,1833954.5112691568,LR
Cyprus,2029,2108785.48131847,LR
Czech Republic,2029,2864037.8263650225,LR
Denmark,2029,4195009.59022553,LR
Estonia,2029,2003443.1734591047,LR
Finland,2029,4288904.891267408,LR
France,2029,15955962.172740545,LR
Germany,2029,19021850.970814332,LR
Greece,2029,3278473.070888672,LR
Hungary,2029,4065150.71341576,LR
Ireland,2029,14596589.314823676,LR
Italy,2029,7298464.327998886,LR
Latvia,2029,2603009.373077701,LR
Lithuania,2029,2278595.7964594075,LR
Luxembourg,2029,5590965.690117224,LR
Malta,2029,5048115.2582025975,LR
Netherlands,2029,9713101.88480052,LR
Poland,2029,6464728.1411210345,LR
Portugal,2029,5680607.205767138,LR
Romania,2029,3088094.5570595963,LR
Slovak Republic,2029,2433440.5254481975,LR
Slovenia,2029,2648175.6197711667,LR
Spain,2029,13297177.076597873,LR
Sweden,2029,5136600.431383212,LR
Austria,2025,3449187.2966078133,RF
Belgium,2025,1956542.974096147,RF
Bulgaria,2025,216179.72190133127,RF
Croatia,2025,221384.99054145344,RF
Cyprus,2025,65434.40102155877,RF
Czech Republic,2025,1008275.8476132995,RF
Denmark,2025,1948212.163579725,RF
Estonia,2025,277830.4775159431,RF
Finland,2025,3041244.222770499,RF
France,2025,17947858.713479,RF
Germany,2025,19648826.877029974,RF
Greece,2025,2181575.838155466,RF
Hungary,2025,3168741.3477252675,RF
