country,year,predicted,model
Czech Republic,2026,19372840.081328865,RF
Denmark,2026,33207497.745401897,RF
Estonia,2026,3329137.106787058,RF
Finland,2026,20450433.83259984,RF
France,2026,192720666.65753573,RF
Germany,2026,227030045.64115486,RF
Greece,2026,72025893.21968451,RF
Hungary,2026,19780732.451532874,RF
Ireland,2026,49925329.09080358,RF
Italy,2026,223156590.34021437,RF
Latvia,2026,6337558.289630195,RF
Lithuania,2026,5776758.129716209,RF
Luxembourg,2026,7235304.553073398,RF
Malta,2026,11665770.739616817,RF
Netherlands,2026,79133140.77820438,RF
Poland,2026,67787266.53986903,RF
Portugal,2026,69336105.47422026,RF
Romania,2026,35936180.403106816,RF
Slovak Republic,2026,2792900.7648698576,RF
Slovenia,2026,1583803.6159842678,RF
Spain,2026,218803913.14071652,RF
Sweden,2026,37283640.42977266,RF
Austria,2027,32889494.30287931,RF
Belgium,2027,34961457.23673699,RF
Bulgaria,2027,12047215.882505398,RF
Croatia,2027,13282381.415635586,RF
Cyprus,2027,12437973.227366565,RF
Czech Republic,2027,22613731.749320645,RF
Denmark,2027,33402705.261893786,RF
Estonia,2027,3508516.1684388164,RF
Finland,2027,22817148.781075522,RF
France,2027,210733599.65829778,RF
Germany,2027,226605977.6026548,RF
Greece,2027,73101731.86643453,RF
Hungary,2027,23123955.16999584,RF
Ireland,2027,55192336.47683733,RF
Italy,2027,231541772.81169268,RF
Latvia,2027,7444591.471419612,RF
Lithuania,2027,6332061.808683765,RF
Luxembourg,2027,7524120.748174299,RF
Malta,2027,12996696.09263293,RF
Netherlands,2027,83855800.00153774,RF
Poland,2027,71943859.3471488,RF
Portugal,2027,71276837.70513691,RF
Romania,2027,40679560.67325198,RF
Slovak Republic,2027,2821647.0414101463,RF
Slovenia,2027,1639906.6818295065,RF
Spain,2027,218897804.88854977,RF
Sweden,2027,39917421.72654026,RF
Austria,2028,35701837.59869316,RF
Belgium,2028,35778294.69046987,RF
Bulgaria,2028,12601151.993656911,RF
Croatia,2028,14056549.29781735,RF
Cyprus,2028,13116755.16575283,RF
Czech Republic,2028,26103320.414716396,RF
Denmark,2028,36178423.966394335,RF
Estonia,2028,3666001.360519347,RF
Finland,2028,26482362.70452621,RF
France,2028,225566507.4207382,RF
Germany,2028,215028381.56690487,RF
Greece,2028,74693132.04118451,RF
Hungary,2028,27841277.84635588,RF
Ireland,2028,54433147.31123809,RF
Italy,2028,217118940.73610938,RF
Latvia,2028,6186430.637720083,RF
Lithuania,2028,7612555.88397654,RF
Luxembourg,2028,6514027.520624846,RF
